web-scraper-order,web-scraper-start-url,shipcard-img-src
"1600213483-480","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/2/29/SouryuuKaiShipyardIcon.png/144px-SouryuuKaiShipyardIcon.png"
"1600213483-214","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/5/5a/KamikazeShipyardIcon.png/144px-KamikazeShipyardIcon.png"
"1600213483-145","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/a/a3/IsuzuShipyardIcon.png/144px-IsuzuShipyardIcon.png"
"1600213483-299","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/e/e0/Shangri-LaShipyardIcon.png/144px-Shangri-LaShipyardIcon.png"
"1600213483-86","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/1/18/DidoShipyardIcon.png/144px-DidoShipyardIcon.png"
"1600213483-227","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/f/fe/YoizukiShipyardIcon.png/144px-YoizukiShipyardIcon.png"
"1600213483-238","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/b/b1/NakaShipyardIcon.png/144px-NakaShipyardIcon.png"
"1600213483-59","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/6/67/SaratogaShipyardIcon.png/144px-SaratogaShipyardIcon.png"
"1600213483-491","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/d/d0/MatsukazeKaiShipyardIcon.png/144px-MatsukazeKaiShipyardIcon.png"
"1600213483-9","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/3/39/MauryShipyardIcon.png/144px-MauryShipyardIcon.png"
"1600213483-260","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/5/5a/I-26ShipyardIcon.png/144px-I-26ShipyardIcon.png"
"1600213483-472","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/f/f0/MogamiKaiShipyardIcon.png/144px-MogamiKaiShipyardIcon.png"
"1600213483-183","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/b/b3/TaihouShipyardIcon.png/144px-TaihouShipyardIcon.png"
"1600213483-232","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/4/40/HonoluluShipyardIcon.png/144px-HonoluluShipyardIcon.png"
"1600213483-374","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/f/f0/B%C3%A9arnShipyardIcon.png/144px-B%C3%A9arnShipyardIcon.png"
"1600213483-150","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/8/85/FurutakaShipyardIcon.png/144px-FurutakaShipyardIcon.png"
"1600213483-235","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/0/08/JerseyShipyardIcon.png/144px-JerseyShipyardIcon.png"
"1600213483-90","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/c/c8/EdinburghShipyardIcon.png/144px-EdinburghShipyardIcon.png"
"1600213483-181","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/0/06/ShoukakuShipyardIcon.png/144px-ShoukakuShipyardIcon.png"
"1600213483-335","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/0/00/TrentoShipyardIcon.png/144px-TrentoShipyardIcon.png"
"1600213483-451","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/1/13/JavelinKaiShipyardIcon.png/144px-JavelinKaiShipyardIcon.png"
"1600213483-332","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/e/e2/Conte_di_CavourShipyardIcon.png/144px-Conte_di_CavourShipyardIcon.png"
"1600213483-445","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/1/17/ArdentKaiShipyardIcon.png/144px-ArdentKaiShipyardIcon.png"
"1600213483-259","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/3/33/I-19ShipyardIcon.png/144px-I-19ShipyardIcon.png"
"1600213483-381","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/4/47/IcarusShipyardIcon.png/144px-IcarusShipyardIcon.png"
"1600213483-107","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/2/22/WarspiteShipyardIcon.png/144px-WarspiteShipyardIcon.png"
"1600213483-292","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/a/af/SiriusShipyardIcon.png/144px-SiriusShipyardIcon.png"
"1600213483-37","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/3/3c/IndianapolisShipyardIcon.png/144px-IndianapolisShipyardIcon.png"
"1600213483-13","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/0/00/AulickShipyardIcon.png/144px-AulickShipyardIcon.png"
"1600213483-77","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/c/cd/GlowwormShipyardIcon.png/144px-GlowwormShipyardIcon.png"
"1600213483-81","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/9/91/JunoShipyardIcon.png/144px-JunoShipyardIcon.png"
"1600213483-71","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/1/1d/CometShipyardIcon.png/144px-CometShipyardIcon.png"
"1600213483-162","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/8/8f/HieiShipyardIcon.png/144px-HieiShipyardIcon.png"
"1600213483-394","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/e/e9/KuonShipyardIcon.png/144px-KuonShipyardIcon.png"
